time_step,v_raw,v_float
6705,  1533,0.374268
6715,  1506,0.367676
6725,  1479,0.361084
6735,  1451,0.354248
6745,  1423,0.347412
6755,  1395,0.340576
6765,  1367,0.333740
6775,  1339,0.326904
6785,  1311,0.320068
6795,  1283,0.313232
6805,  1255,0.306396
6815,  1226,0.299316
6825,  1197,0.292236
6835,  1168,0.285156
6845,  1139,0.278076
6855,  1110,0.270996
6865,  1081,0.263916
6875,  1052,0.256836
6885,  1023,0.249756
6895,   994,0.242676
6905,   965,0.235596
6915,   935,0.228271
6925,   905,0.220947
6935,   875,0.213623
6945,   845,0.206299
6955,   815,0.198975
6965,   785,0.191650
6975,   755,0.184326
6985,   725,0.177002
6995,   695,0.169678
7005,   664,0.162109
7015,   633,0.154541
7025,   602,0.146973
7035,   571,0.139404
7045,   540,0.131836
7055,   509,0.124268
7065,   478,0.116699
7075,   447,0.109131
7085,   416,0.101562
7095,   385,0.093994
7105,   354,0.086426
7115,   322,0.078613
7125,   290,0.070801
7135,   258,0.062988
7145,   226,0.055176
7155,   194,0.047363
7165,   162,0.039551
7175,   130,0.031738
7185,    98,0.023926
7195,    66,0.016113
7205,    34,0.008301
7215,     2,0.000488
7225,   -31,-0.007568
7235,   -64,-0.015625
7245,   -97,-0.023682
7255,  -130,-0.031738
7265,  -163,-0.039795
7275,  -196,-0.047852
7285,  -229,-0.055908
7295,  -262,-0.063965
7305,  -295,-0.072021
7315,  -328,-0.080078
7325,  -361,-0.088135
7335,  -395,-0.096436
7345,  -429,-0.104736
7355,  -463,-0.113037
7365,  -497,-0.121338
7375,  -531,-0.129639
7385,  -565,-0.137939
7395,  -599,-0.146240
7405,  -633,-0.154541
7415,  -667,-0.162842
7425,  -701,-0.171143
7435,  -735,-0.179443
7445,  -769,-0.187744
7455,  -803,-0.196045
7465,  -838,-0.204590
7475,  -873,-0.213135
7485,  -908,-0.221680
7495,  -943,-0.230225
7505,  -978,-0.238770
7515, -1013,-0.247314
7525, -1048,-0.255859
7535, -1083,-0.264404
7545, -1118,-0.272949
7555, -1153,-0.281494
7565, -1188,-0.290039
7575, -1223,-0.298584
7585, -1258,-0.307129
7595, -1293,-0.315674
7605, -1329,-0.324463
7615, -1365,-0.333252
7625, -1401,-0.342041
7635, -1437,-0.350830
7645, -1473,-0.359619
7655, -1509,-0.368408
7665, -1545,-0.377197
7675, -1581,-0.385986
7685, -1617,-0.394775
7695, -1653,-0.403564
7705, -1689,-0.412354
7715, -1725,-0.421143
7725, -1761,-0.429932
7735, -1797,-0.438721
7745, -1833,-0.447510
7755, -1869,-0.456299
7765, -1905,-0.465088
7775, -1942,-0.474121
7785, -1979,-0.483154
7795, -2016,-0.492188
7805, -2053,-0.501221
7815, -2090,-0.510254
7825, -2127,-0.519287
7835, -2164,-0.528320
7845, -2201,-0.537354
7855, -2238,-0.546387
7865, -2275,-0.555420
7875, -2312,-0.564453
7885, -2349,-0.573486
7895, -2386,-0.582520
7905, -2423,-0.591553
7915, -2460,-0.600586
7925, -2497,-0.609619
7935, -2534,-0.618652
7945, -2571,-0.627686
7955, -2608,-0.636719
7965, -2645,-0.645752
7975, -2682,-0.654785
7985, -2719,-0.663818
7995, -2756,-0.672852
8005, -2794,-0.682129
8015, -2832,-0.691406
8025, -2870,-0.700684
8035, -2908,-0.709961
8045, -2946,-0.719238
8055, -2984,-0.728516
8065, -3022,-0.737793
8075, -3060,-0.747070
8085, -3098,-0.756348
8095, -3136,-0.765625
8105, -3174,-0.774902
8115, -3212,-0.784180
8125, -3250,-0.793457
8135, -3288,-0.802734
8145, -3326,-0.812012
8155, -3364,-0.821289
8165, -3402,-0.830566
8175, -3440,-0.839844
8185, -3478,-0.849121
8195, -3516,-0.858398
8205, -3554,-0.867676
8215, -3592,-0.876953
8225, -3630,-0.886230
8235, -3668,-0.895508
8245, -3706,-0.904785
8255, -3744,-0.914062
8265, -3782,-0.923340
8275, -3820,-0.932617
8285, -3858,-0.941895
8295, -3896,-0.951172
8305, -3934,-0.960449
8315, -3972,-0.969727
8325, -4010,-0.979004
8335, -4048,-0.988281
8345, -4086,-0.997559
8355, -4124,-1.006836
8365, -4162,-1.016113
8375, -4199,-1.025146
8385, -4235,-1.033936
8395, -4271,-1.042725
8405, -4306,-1.051270
8415, -4341,-1.059814
8425, -4375,-1.068115
8435, -4408,-1.076172
8445, -4441,-1.084229
8455, -4473,-1.092041
8465, -4505,-1.099854
8475, -4536,-1.107422
8485, -4566,-1.114746
8495, -4596,-1.122070
8505, -4625,-1.129150
8515, -4654,-1.136230
8525, -4682,-1.143066
8535, -4710,-1.149902
8545, -4737,-1.156494
8555, -4764,-1.163086
8565, -4790,-1.169434
8575, -4815,-1.175537
8585, -4840,-1.181641
8595, -4865,-1.187744
8605, -4889,-1.193604
8615, -4913,-1.199463
8625, -4936,-1.205078
